ECOS Listed Species ID	Common Name	Scientific Name	ESA Listing Status	Is Foreign?	Taxonomic Family	Taxonomic Group	Taxonomic Kingdom
1	Indiana bat	Myotis sodalis	Endangered	FALSE	Vespertilionidae	Mammals	Animal
2	Grizzly bear	Ursus arctos horribilis	Threatened	FALSE	Ursidae	Mammals	Animal
3	Columbian white-tailed deer	Odocoileus virginianus leucurus	Threatened	FALSE	Cervidae	Mammals	Animal
4	Key deer	Odocoileus virginianus clavium	Endangered	FALSE	Cervidae	Mammals	Animal
5	Black-footed ferret	Mustela nigripes	Endangered	FALSE	Mustelidae	Mammals	Animal
6	San Joaquin kit fox	Vulpes macrotis mutica	Endangered	FALSE	Canidae	Mammals	Animal
7	West Indian Manatee	Trichechus manatus	Threatened	FALSE	Trichechidae	Mammals	Animal
8	Florida panther	Puma (=Felis) concolor coryi	Endangered	FALSE	Felidae	Mammals	Animal
10	Delmarva Peninsula fox squirrel	Sciurus niger cinereus	Recovery	FALSE	Sciuridae	Mammals	Animal
19	Eastern puma (=cougar)	Puma (=Felis) concolor couguar	Extinction	FALSE	Felidae	Mammals	Animal
36	Louisiana black bear	Ursus americanus luteolus	Recovery	FALSE	Ursidae	Mammals	Animal
44	Virginia northern flying Squirrel	Glaucomys sabrinus fuscus	Recovery	FALSE	Sciuridae	Mammals	Animal
94	Kirtland's Warbler	Setophaga kirtlandii (= Dendroica kirtlandii)	Recovery	FALSE	Parulidae	Birds	Animal
134	Least tern	Sterna antillarum	Recovery	FALSE	Laridae	Birds	Animal
