ECOS Listed Species ID	State Abbreviation
338	IN
1088	UT
1020	UT
1020	AZ
461	TX
631	UT
430	CA
528	CA
176	FL
945	SC
945	NC
3670	AR
5887	GA
689	UT
689	AZ
2171	NC
7013	TX
3492	NC
421	CA
9975	NV
2171	GA
2171	SC
11594	UT
1195	NM
2732	GA
178	FL
3492	SC
3492	GA
1149	UT
20	UT
607	UT
241	AL
749	UT
135	NC
3670	KS
3670	KY
135	CT
338	AL
11468	NV
338	TN
338	VA
167	FL
21	KY
1707	CA
338	KY
11657	GA
4395	FL
166	AZ
166	NM
8432	NC
9352	NC
2331	AZ
185	CA
888	UT
4253	FL
185	UT
185	NV
318	TN
318	VA
185	AZ
135	NH
135	NJ
135	VA
135	NY
135	MA
379	GA
379	TN
379	AL
94	OH
701	TX
21	AR
135	ME
135	RI
612	CA
632	CA
383	AL
383	GA
383	TN
669	CA
10095	GA
10095	TN
854	CA
877	AZ
1244	CA
1260	NM
1268	CA
1270	CA
1270	OR
1273	HI
1275	NM
11319	IN
6841	KY
6841	VA
6841	TN
6841	AL
6841	NC
6841	MS
381	AL
381	TN
381	GA
372	GA
372	TN
372	AL
3904	CA
3905	HI
3906	ME
3908	DE
3908	IL
3908	NJ
3909	KY
3910	CA
3911	AL
3911	MS
3912	VI
3912	PR
3913	UT
3915	ID
3916	UT
3917	AL
3918	HI
3919	CA
3920	NV
3922	CA
3925	CA
3926	NM
3927	AL
3929	CA
6156	CA
6157	TX
6158	WV
6159	NV
29	FL
6161	CA
6162	HI
6164	HI
6165	CA
6166	CA
6167	UT
6167	NV
6167	OR
6168	AZ
5100	GU
6169	WV
6171	CA
6172	TX
6174	UT
6175	NV
6177	CA
10306	NV
11594	AZ
3670	OK
249	CO
249	AZ
249	UT
249	CA
249	NV
94	WI
8	FL
1525	FL
5233	FL
752	FL
93	FL
85	FL
695	FL
21	KS
8083	FL
11657	FL
21	TN
7136	FL
21	IN
4712	FL
661	FL
10512	NC
10518	NM
10518	CO
1535	FL
21	MS
10526	CA
10527	PR
10527	VI
10528	VI
10528	PR
10529	PR
10529	VI
10530	VI
10531	VI
10532	VI
10532	PR
10533	VI
10534	VI
10535	VI
10549	CA
10549	UT
10549	NV
10549	ID
10549	AZ
10549	OK
10549	WY
10549	MT
10549	NM
10601	CA
10601	AK
10601	OR
10601	WA
7206	FL
1279	PR
1279	VI
1280	CA
1281	NV
1281	CA
1282	NY
1282	MA
1282	NJ
1282	NH
1282	RI
1282	CT
1282	DE
1284	NM
1285	TX
1286	WY
1287	WY
1287	CO
1287	NM
1287	TX
1287	AZ
1290	OR
1290	WA
1291	NV
1293	CA
1294	CA
1295	HI
1296	HI
3670	IL
740	FL
1298	ME
1298	NY
1298	NH
1299	OR
1299	WA
1299	ID
1300	HI
1301	AZ
1303	HI
