ECOS Listed Species ID	ESA Listing Date	Delisting Date	Delisting Reason
303	9/6/1990		
1045	3/13/1986		
5957	5/9/2000		
4847	1/12/1995		
7029	12/2/1970		
10147	11/24/2014		
967	6/12/1987		
146	5/10/1993		
613	10/10/2001		
287	3/31/1986		
433	4/8/1980		
5300	6/14/1976		
2390	6/2/1970		
629	9/29/1978		
878	1/19/1989		
8033	5/16/1986		
421	6/8/1976		
7088	5/5/2021		
875	5/20/1992		
910	1/9/1986		
20	6/4/1973		
796	10/29/1978		
1034	9/16/1987		
6620	10/20/2017		
129	3/16/1993		
582	3/26/1997		
1150	4/22/1992		
10078	11/9/2020		
458	1/24/1997		
408	9/30/1991		
5610	6/4/2020		
10123	12/23/2019		
1095	2/4/1994		
4519	6/14/1976		
784	5/27/1978		
933	6/22/1992		
8222	12/2/1970		
934	2/4/1994		
52	5/13/1998		
911	9/23/1993		
2142	7/24/1985		
360	2/28/1989		
7280	11/29/2013		
7168	10/19/1976		
532	10/22/1997		
395	8/2/1978		
10710	12/17/2020		
471	12/26/2000		
960	7/31/1986		
712	5/27/1978		
9384	6/8/2006		
4881	11/16/2005		
8181	9/14/1998		
174	10/13/1970		
11570	5/5/2019		
427	6/8/1976		
9382	6/8/2006		
9061	4/8/2005		
9505	10/15/2007		
1934	8/12/2002		
96	6/2/1970		
456	1/24/1997		
1	3/11/1967		
10175	4/6/2012		
178	11/6/1987		
3990	10/9/2014		
7445	12/2/1970		
235	11/10/1975		
507	1/29/1997		
10043	5/4/2015		
9725	11/1/2013		
46	6/21/1990		
7918	10/24/2016		
3279	1/12/1995		
176	10/28/1975		
10757	10/15/2021		
10174	4/6/2012		
657	9/12/1977		
237	10/11/1977		
27	12/31/1979		
23	6/14/1976		
7060	3/30/1972		
1119	3/20/2000		
5516	5/4/2000		
656	5/8/1985		
188	3/11/1967		
840	11/10/1982		
85	3/11/1967		
1269	9/12/2011		
206	6/13/2002		
4219	1/16/2008		
655	9/21/1989		
483	4/26/1978		
8	3/11/1967		
683	12/7/1979		
29	4/30/1991		
101	10/13/1970		
625	2/5/1988		
787	3/26/1997		
10101	8/30/2018		
642	6/5/1987		
490	9/19/1994		
914	7/12/1993		
638	12/5/1990		
11175	5/6/2016		
716	6/16/1987		
179	11/6/1987		
2144	7/26/2010		
212	3/11/1967		
10480	11/29/2013		
451	1/16/1997		
45	1/14/1977		
218	3/11/1967		
450	1/25/2000		
59	4/5/2000		
8061	8/14/1991		
3271	7/8/2014		
329	6/14/1976		
1017	7/26/1991		
970	9/9/1994		
3799	7/27/1979		
2156	6/2/1970		
49	12/12/1991		
3496	6/14/1976		
465	9/16/1988		
14	3/11/1967		
418	1/26/2000		
457	10/3/2001		
2840	9/12/2011		
580	3/26/1997		
10322	11/13/2014		
876	9/7/1988		
7247	6/2/1970		
5066	9/23/2021		
1380	5/17/2012		
1126	1/25/2000		
15	10/13/1970		
6708	6/22/1983		
1204	2/5/1988		
1233	1/25/2000		
431	7/2/1980		
500	7/2/2002		
1011	7/31/1997		
292	9/27/1985		
346	9/26/1977		
6346	9/19/2013		
11180	5/6/2016		
592	1/25/2000		
4246	6/2/1970		
108	10/13/1970		
942	8/8/1990		
260	11/1/1984		
3224	10/24/2016		
9500	10/15/2007		
1913	6/2/1970		
3525	9/8/2011		
10319	11/13/2014		
988	8/3/1993		
263	8/31/1984		
437	6/24/1991		
25	11/30/1979		
1162	4/22/1992		
823	5/7/1991		
1953	7/26/2010		
4587	6/2/1970		
55	2/23/2000		
1263	11/7/2002		
31	9/21/1983		
10485	5/6/2016		
133	7/31/1986		
828	2/12/1993		
8941	6/19/2009		
32	9/21/1983		
8267	6/2/1970		
835	9/5/1985		
1006	4/22/1992		
7220	8/26/2011		
7495	11/4/2013		
749	9/28/1990		
1030	1/6/1997		
556	2/6/2002		
10599	10/31/2016		
76	3/11/1967		
7342	6/26/2001		
1160	11/29/1991		
313	12/27/1993		
104	10/13/1970		
989	7/18/1985		
1172	1/6/1997		
713	7/28/1993		
1043	7/18/1985		
5273	10/6/2017		
1221	3/11/1967		
975	4/10/1990		
3485	6/2/1970		
167	12/29/1977		
866	9/20/1991		
209	11/17/2021		
2934	6/27/2013		
208	12/4/2001		
479	9/30/1988		
935	3/26/1986		
1231	4/19/1985		
387	12/15/1994		
249	4/23/1980		
382	3/17/1993		
2137	6/2/1970		
1007	4/22/1992		
909	4/7/1988		
297	9/1/1988		
614	10/14/1998		
4	3/11/1967		
1044	7/18/1985		
7048	12/16/2021		
3194	5/9/2014		
1165	7/12/1993		
7054	10/31/2013		
607	10/6/1987		
8684	5/9/2014		
906	6/16/1987		
553	10/18/1996		
16	10/13/1970		
428	6/8/1976		
1322	6/2/1970		
3266	6/22/1983		
125	7/6/1987		
1158	4/27/1993		
515	7/31/1997		
6557	8/26/2013		
501	7/31/1997		
6190	12/2/1970		
1222	6/2/1970		
5210	7/10/2014		
643	5/27/1978		
529	10/7/1996		
6934	10/19/1976		
971	9/9/1994		
1033	2/18/1994		
6517	12/2/1970		
10173	4/6/2012		
1046	11/1/1985		
156	10/13/1970		
4700	6/14/1976		
8338	6/27/2013		
5408	12/2/1970		
331	6/14/1976		
894	4/22/1992		
10909	11/4/2016		
777	11/29/1979		
8336	11/25/2013		
4253	10/6/2017		
982	7/12/1993		
353	1/10/1997		
1127	4/27/1993		
524	7/31/1997		
11181	5/6/2016		
12	3/9/1978		
1853	1/27/2011		
503	7/31/1997		
574	7/31/1997		
660	5/20/1985		
71	3/11/1967		
75	3/11/1967		
977	9/28/1988		
119	8/27/1984		
121	4/11/1984		
72	3/11/1967		
453	12/18/1997		
10582	10/24/2016		
70	3/11/1967		
245	10/28/1975		
5170	10/24/2016		
5780	3/20/1980		
315	12/20/1994		
391	8/2/1978		
644	5/27/1978		
1031	4/7/1987		
587	7/31/1997		
4007	11/29/2013		
155	12/2/1970		
945	5/7/1991		
10141	5/5/2011		
611	12/22/1999		
619	5/15/1992		
957	1/9/1987		
8296	1/12/1995		
1520	1/23/1984		
383	3/17/1993		
135	11/2/1987		
234	10/13/1970		
5797	9/29/2021		
6345	6/2/1970		
701	11/28/1979		
628	1/5/1990		
173	3/3/1978		
18	3/28/1972		
283	9/27/1985		
4766	5/17/2012		
1283	8/26/2011		
326	6/14/1976		
369	4/5/1990		
557	7/31/1997		
908	1/10/1997		
916	10/10/1996		
594	10/14/1998		
215	3/11/1967		
974	4/27/1993		
2884	7/15/2021		
1015	1/21/1987		
7433	6/2/1970		
24	3/24/2000		
4619	9/28/1990		
2320	6/2/1970		
11662	11/19/2020		
723	11/1/1979		
789	1/21/1987		
7800	9/30/2016		
1512	6/24/1996		
1195	7/14/1989		
1028	11/3/1998		
110	6/4/1973		
757	11/29/1979		
88	6/2/1970		
2731	6/2/1970		
1024	11/1/1985		
1737	10/16/1996		
953	11/24/1993		
117	12/12/1976		
17	10/13/1970		
7855	4/6/1990		
997	5/8/1992		
363	3/14/1990		
9123	3/9/1978		
4712	10/6/2017		
937	5/8/1992		
1607	5/13/2010		
7515	6/14/1976		
7363	10/10/2012		
10037	12/9/2009		
4429	10/19/1976		
1039	6/15/1990		
3029	1/16/2008		
1246	8/9/2005		
9496	10/15/2007		
389	8/2/1978		
477	12/18/1997		
7254	10/31/2016		
10286	7/23/1978		
1228	7/18/1991		
856	8/12/1998		
621	5/15/1992		
940	6/22/1992		
8305	6/2/1970		
4042	10/10/2012		
333	6/14/1976		
3605	6/14/1976		
1627	8/26/2010		
742	9/9/1982		
1101	10/10/1996		
1032	11/10/1994		
7074	6/2/1970		
1340	6/2/1970		
8332	6/2/1970		
1498	6/22/1983		
543	7/31/1997		
555	7/31/1997		
455	4/18/1994		
6097	11/5/2015		
1014	4/29/1987		
496	10/13/1998		
366	3/16/1998		
195	8/4/1987		
4090	9/29/2014		
417	2/25/2000		
1009	8/31/1984		
1966	6/2/1970		
406	8/14/2002		
5153	5/9/2016		
888	11/6/1987		
552	7/31/1997		
2962	6/14/1976		
8055	6/14/1976		
5849	6/2/1970		
35	6/6/1985		
7511	6/14/1976		
1000	8/31/1984		
10284	7/23/1978		
7	3/11/1967		
4248	10/25/2013		
332	6/14/1976		
7332	12/2/2013		
1103	10/8/1992		
1108	10/10/1996		
10245	7/23/1978		
573	3/20/2000		
861	5/27/1978		
4679	1/22/1993		
4426	6/2/1970		
33	1/14/1983		
2	7/28/1975		
518	7/8/1986		
1069	2/25/1994		
993	1/24/1986		
7581	6/2/1970		
67	3/11/1967		
788	10/12/1983		
345	10/9/2001		
1473	6/2/1970		
7967	1/12/1995		
153	6/2/1970		
26	8/27/1984		
11260	9/2/2021		
617	9/26/1986		
8389	3/11/1967		
10732	11/2/2015		
776	5/20/1985		
9386	2/4/2022		
4362	3/11/1967		
95	3/11/1967		
10383	3/21/2017		
367	3/17/1993		
285	9/27/1985		
1862	11/2/2015		
282	9/12/1985		
286	9/30/1991		
319	6/14/1976		
1261	8/9/2005		
69	3/11/1967		
250	7/14/1980		
349	4/7/1987		
10283	7/23/1978		
60	1/14/1991		
118	8/27/1984		
1962	6/14/1976		
154	6/2/1970		
6898	6/2/1970		
1125	2/6/1990		
1164	12/15/1994		
8231	9/19/2013		
362	4/7/1987		
466	9/16/1988		
895	2/18/1994		
2161	1/16/2008		
2624	7/24/2012		
34	6/6/1985		
321	6/14/1976		
1559	10/28/2013		
10290	2/4/1994		
739	11/1/1985		
6250	6/22/1983		
675	7/12/1993		
140	6/3/1987		
4758	6/2/1970		
761	5/8/1992		
322	6/14/1976		
5989	7/28/1978		
180	1/29/1997		
4331	6/14/1976		
7948	10/31/2016		
3229	7/27/1984		
7949	10/10/2012		
124	2/28/1984		
696	5/15/1985		
759	3/28/1994		
3871	5/13/2010		
2264	1/23/1984		
676	7/12/1993		
320	6/14/1976		
199	4/1/1999		
10280	7/23/1978		
365	3/17/1993		
274	5/10/1982		
6490	5/23/2013		
10736	9/2/2014		
152	3/11/1967		
752	7/27/1989		
2649	6/14/1976		
6821	1/12/1995		
711	8/3/1993		
403	9/30/1991		
1061	2/6/1990		
539	1/26/2000		
1311	10/31/2016		
1167	6/19/1997		
6427	6/14/1976		
9488	10/15/2007		
7743	6/14/1976		
6223	6/14/2001		
7590	8/2/1999		
380	3/17/1993		
6841	10/28/2013		
2701	1/23/1984		
2364	11/2/2015		
231	10/13/1970		
7892	6/27/2013		
1247	8/9/2005		
1116	3/28/1994		
634	4/7/1993		
3056	6/2/1970		
462	11/29/2001		
357	3/17/1993		
474	12/26/2000		
54	12/18/1998		
830	10/8/1992		
10299	2/6/2012		
663	7/18/1985		
6845	5/13/2010		
740	1/21/1987		
1193	11/10/1994		
317	6/14/1976		
10229	6/27/2013		
9959	5/13/2010		
414	10/28/1998		
7082	6/2/1970		
4162	8/13/2012		
50	5/12/1989		
9941	7/23/1978		
695	11/1/1985		
744	7/27/1989		
264	5/10/1982		
1436	6/14/1976		
7525	6/14/1976		
116	9/12/1977		
1008	5/26/1999		
791	11/26/1979		
1262	11/7/2002		
2211	11/25/2013		
1191	1/23/1984		
913	9/30/1991		
4564	10/24/2016		
11193	5/6/2016		
404	1/25/1993		
1219	4/27/1993		
9721	11/5/2015		
11379	8/31/2016		
677	11/29/1991		
2933	6/2/1970		
439	5/20/1985		
1070	2/25/1994		
5702	10/7/2014		
3833	12/2/2010		
5968	7/27/1979		
97	10/13/1970		
5449	11/29/2013		
902	6/22/1992		
2929	10/31/2016		
6231	10/18/2012		
4633	6/2/1970		
871	1/19/1981		
8277	6/27/2013		
1050	3/4/1994		
175	9/25/1980		
350	4/7/1987		
4326	10/18/2012		
4074	5/3/2018		
661	11/1/1985		
7158	6/14/1976		
1254	5/9/2006		
947	10/8/1992		
7136	10/31/2016		
653	7/27/1989		
637	9/26/1986		
8254	5/13/2010		
10276	7/23/1978		
10104	8/30/2018		
5623	6/2/1970		
11657	4/7/2021		
5242	6/2/1970		
5113	6/2/1970		
3385	6/27/2013		
10521	9/11/2013		
377	3/17/1993		
2724	6/14/1976		
1248	5/9/2006		
5335	6/2/1970		
568	12/23/1996		
338	6/14/1976		
459	12/26/2000		
381	3/17/1993		
228	10/13/1970		
1256	5/9/2006		
336	6/14/1976		
1259	5/9/2006		
1252	5/9/2006		
83	3/11/1967		
698	5/27/1978		
379	3/17/1993		
1098	5/15/1992		
1257	5/9/2006		
6782	10/10/2017		
870	5/27/1978		
2305	5/30/1989		
527	3/26/1997		
10008	10/31/2016		
598	8/21/1996		
9282	11/2/2015		
1159	10/10/1996		
48	9/30/1988		
1253	5/9/2006		
8962	8/27/1984		
1881	8/1/2014		
2782	10/31/2016		
5333	10/31/2016		
755	2/25/1994		
372	3/17/1993		
8278	1/3/1992		
1003	7/18/1988		
1251	5/9/2006		
1258	5/9/2006		
402	2/25/2000		
1704	6/2/1970		
4413	10/31/2016		
811	5/29/1984		
5188	6/14/1976		
646	10/8/1992		
281	3/11/1967		
311	12/15/1998		
2907	6/2/1970		
53	5/12/1989		
1890	6/2/1970		
162	8/22/1977		
645	5/15/1992		
572	10/10/1996		
9963	5/13/2010		
5580	10/31/2016		
7609	6/2/1970		
671	3/4/1994		
4487	5/13/2010		
1178	10/10/1996		
7955	10/31/2016		
11373	11/6/2015		
606	8/21/1996		
4858	5/13/2010		
4297	10/31/2016		
738	10/10/1996		
5613	6/4/1973		
252	5/5/2000		
4000	11/29/2013		
1840	10/31/2016		
1255	5/9/2006		
295	6/12/1987		
7261	5/13/2010		
3970	1/12/1995		
3876	6/27/2013		
6867	10/31/2016		
1210	6/9/1993		
9943	2/10/2009		
271	4/27/1993		
1085	4/27/1993		
1110	2/25/1994		
163	7/5/1977		
6747	10/31/2016		
1100	3/4/1994		
487	6/21/1990		
10009	10/31/2016		
386	3/16/1998		
1989	6/27/2013		
3545	7/27/1979		
865	10/10/1996		
5548	11/29/2013		
5362	7/9/2013		
962	2/25/1994		
1245	8/9/2005		
347	4/7/1987		
620	5/27/1978		
1241	1/22/2004		
1185	9/3/1999		
446	2/1/2000		
3398	4/22/1992		
1023	2/3/1995		
11471	10/19/2017		
434	9/25/1987		
3613	1/12/1995		
985	11/25/1994		
874	3/26/1986		
1361	10/18/2012		
3945	3/28/1972		
160	7/28/1978		
11202	9/4/2014		
10594	10/31/2016		
82	3/11/1967		
1186	9/3/1999		
7617	6/27/2013		
7731	11/2/2015		
10224	6/27/2013		
799	9/20/1991		
1139	10/10/1996		
7229	3/17/2009		
6062	3/15/2012		
42	7/1/1985		
536	10/10/1996		
745	11/29/1979		
123	5/2/1986		
938	2/25/1994		
10586	10/31/2016		
4589	11/29/2013		
688	9/11/1991		
756	10/29/1991		
10719	11/2/2015		
576	10/13/1998		
736	11/10/1994		
6470	6/14/1976		
10235	6/27/2013		
1049	6/27/1994		
9503	10/15/2007		
469	12/26/2000		
10583	10/31/2016		
662	10/29/1991		
11192	5/6/2016		
11470	10/19/2017		
741	3/4/1994		
4630	5/13/2010		
224	6/4/1973		
9506	10/15/2007		
185	8/20/1980		
10587	10/31/2016		
5245	6/14/1976		
3140	4/21/2004		
2891	12/23/1976		
1187	9/3/1999		
2458	7/3/2014		
1134	8/24/1994		
9952	5/13/2010		
