ECOS Listed Species ID	Conservation Plan Id
1045	268
421	4567
10291	4658
10291	4470
20	4662
20	4656
20	4655
20	3991
20	3647
20	1468
20	1467
20	582
20	231
20	216
20	213
20	165
20	155
20	42
20	14
1577	615
129	3338
129	995
582	4229
458	4763
458	152
458	77
458	76
1654	4229
1654	149
4602	1026
4602	983
4602	507
4602	383
4602	184
4602	148
4602	99
4602	53
1095	4254
1095	4225
1095	3535
1095	3132
1095	968
1095	77
1095	76
784	4567
934	3535
934	77
934	76
52	4457
52	3833
52	3832
52	3655
52	3624
52	3540
52	3282
52	3281
52	3246
52	3230
52	3229
52	3178
52	3101
52	1622
52	1621
52	1219
52	1001
52	848
52	589
52	588
52	470
911	481
2142	3341
360	4055
10710	4812
471	4734
471	4659
471	4392
471	1079
11365	4820
11365	4472
712	4567
11570	149
11570	106
11570	45
427	4567
427	270
427	89
427	58
427	57
427	56
427	55
427	54
96	3741
96	981
96	610
96	228
96	226
96	129
96	117
96	53
456	4763
456	4256
456	4254
456	4226
456	4225
456	4107
456	4106
456	3963
456	3962
456	3961
456	3960
456	3859
456	3535
456	3132
456	968
456	152
456	77
456	76
1	4832
1	4830
1	4820
1	4772
1	4770
1	4761
1	4743
1	4552
1	4551
1	4512
1	4472
1	4471
1	4434
1	4432
1	4431
1	4380
1	4342
1	4334
1	4333
1	4332
1	4330
1	4328
1	4258
1	4000
1	1224
9278	983
178	4148
178	3723
178	3626
178	828
178	452
178	21
235	3804
235	3803
507	148
10043	4832
10043	4830
10043	4820
10043	4772
10043	4770
10043	4761
10043	4743
10043	4552
10043	4551
10043	4512
10043	4472
10043	4471
10043	4434
10043	4431
10043	4380
10043	4334
10043	4332
10043	4330
46	894
27	4258
1119	4319
188	4763
188	576
188	46
206	3809
206	3339
206	3338
206	1007
206	481
8	3622
787	554
787	113
490	4567
490	558
490	550
490	149
490	52
11175	4099
11175	3201
11175	3193
11175	3191
11175	3163
11175	1619
11175	1618
11175	1617
11175	1615
11175	1614
11175	893
11175	438
11175	39
11175	23
179	4304
179	4253
179	4252
179	4243
179	4158
179	4148
179	3876
179	3864
179	3729
179	3723
179	3626
179	828
179	452
179	21
450	4556
450	4347
450	4346
450	4246
450	4150
450	4046
450	3151
59	4222
59	4066
8061	983
10202	3269
49	4763
49	3357
49	1542
49	950
465	4720
465	4514
465	3887
465	3091
465	1279
465	1278
465	1068
465	261
465	132
465	96
465	30
457	4763
457	3372
457	3148
580	4229
580	558
580	113
3618	610
3618	184
1126	4347
1126	4346
1126	4246
1126	4046
1126	3151
15	4758
15	4757
15	4756
15	4578
15	4413
15	4411
15	4387
15	4386
15	4385
15	4155
15	975
2427	716
2427	528
1233	4246
1233	4046
431	4246
431	3594
431	3150
431	18
500	1486
500	983
500	981
500	610
500	537
500	228
500	226
500	184
500	129
500	117
500	53
8034	102
5140	558
5140	546
6346	4440
6346	1263
11180	4099
11180	3201
11180	3193
11180	3191
11180	3163
11180	1619
11180	1618
11180	1617
11180	1615
11180	1614
11180	893
11180	438
11180	39
11180	23
108	4758
108	4413
108	4410
108	4387
108	3735
108	921
4870	981
4870	228
4870	226
4870	129
4870	117
4870	53
9256	983
2504	983
2504	612
2504	112
988	1486
988	981
988	228
988	226
988	129
988	53
263	3809
263	3338
263	189
2146	528
55	4229
55	52
1263	4246
31	193
31	192
31	111
10485	4099
10485	3201
10485	3193
10485	3191
10485	3163
10485	1619
10485	1618
10485	1617
10485	1615
10485	1614
10485	893
10485	438
10485	39
10485	23
828	4246
828	4046
8941	741
32	193
32	192
32	111
5525	674
5525	383
5525	184
5525	148
5525	53
7495	4760
7495	4603
7495	4473
7495	4046
1030	3809
1030	3338
1030	481
76	4758
76	4413
76	4410
76	4387
76	3735
7342	4734
7342	4129
7342	3776
104	4758
104	4413
104	4410
104	4387
104	4155
104	3735
104	973
104	921
1225	4246
1225	4046
209	3792
209	480
2389	1123
2389	849
4632	3618
4632	3226
479	4478
479	4121
9528	983
1984	610
1984	184
897	4763
387	4763
387	4163
387	3867
387	1500
387	577
387	134
249	3792
249	1490
249	480
4	894
1531	3393
7054	481
8684	4765
2466	724
428	4763
428	4358
428	4341
428	1512
428	1510
428	566
428	109
529	610
529	53
331	3802
11181	4099
11181	3201
11181	3193
11181	3191
11181	3163
11181	1619
11181	1618
11181	1617
11181	1615
11181	1614
11181	893
11181	438
11181	39
11181	23
12	995
12	502
12	225
12	116
12	18
7558	981
7558	228
7558	226
7558	129
7558	117
7558	53
9293	983
453	4734
453	1238
155	4099
155	3201
155	3193
155	3191
155	1619
155	1618
155	1617
155	1615
155	1614
155	893
155	347
155	23
2802	983
619	3865
8284	546
9209	983
3249	981
3249	228
3249	226
3249	129
3249	117
3249	53
11688	4763
11688	1523
11688	550
11688	546
11688	92
11688	52
135	3698
11686	4763
11686	1523
11686	550
11686	546
11686	92
11686	52
173	4266
173	3751
173	3626
173	3617
173	3173
173	1025
173	1014
173	894
173	678
173	586
173	452
173	437
173	337
173	240
173	170
173	139
173	130
173	120
173	29
173	21
173	17
283	1489
8384	4229
8384	4137
8384	4134
8384	3934
8384	3933
8384	3877
8384	3812
8384	3673
8384	3669
8384	3662
8384	3589
8384	3544
8384	3537
8384	3452
8384	3449
8384	3402
8384	3400
8384	3399
8384	3352
8384	3351
8384	3341
8384	3302
8384	3295
8384	3294
8384	3257
8384	3255
8384	3254
8384	3253
8384	3252
8384	3251
8384	3247
8384	3243
8384	3242
8384	3241
8384	3237
8384	3222
8384	3130
8384	3097
8384	3096
8384	3095
8384	3094
8384	3093
8384	3092
8384	3090
8384	3089
8384	3079
8384	3078
8384	3077
8384	3076
8384	3075
8384	3074
8384	3073
8384	3072
8384	3071
8384	3070
8384	3068
8384	3067
8384	3066
8384	3065
8384	3064
8384	3063
8384	3062
8384	3061
8384	3060
8384	3059
8384	3058
8384	3057
8384	3056
8384	3055
8384	3054
8384	3052
8384	3050
8384	3049
8384	3048
8384	3047
8384	3046
8384	3045
8384	3044
8384	3043
8384	3042
8384	1613
8384	1596
8384	1595
8384	1594
8384	1593
8384	1592
8384	1591
8384	1590
8384	1533
8384	1532
8384	1465
8384	1355
8384	1247
8384	1245
8384	1244
8384	1243
8384	1240
8384	1239
8384	1213
8384	1212
8384	1211
8384	1210
8384	1209
8384	1207
8384	1206
8384	1205
8384	1187
8384	1184
8384	1183
8384	1182
8384	1181
8384	1180
8384	1179
8384	1174
8384	1173
8384	1019
8384	995
8384	983
8384	981
8384	909
8384	864
8384	863
8384	507
8384	502
8384	319
8384	228
8384	226
8384	225
8384	149
8384	148
8384	129
8384	116
8384	110
8384	92
8384	79
8384	71
8384	53
2073	1026
2073	983
2073	981
2073	674
2073	616
2073	610
2073	537
2073	507
2073	383
2073	228
2073	226
2073	184
2073	148
2073	129
2073	117
2073	99
2073	53
8293	716
8293	528
8234	761
8313	109
215	3341
11685	4763
11685	1523
11685	550
11685	546
11685	92
11685	52
6726	743
6726	715
11687	4763
11687	1523
11687	550
11687	546
11687	92
11687	52
24	4327
24	3470
24	1220
24	502
24	225
24	115
4359	983
789	21
7800	4403
7800	3998
7800	3836
1951	4763
1951	1523
1951	550
1951	546
1951	92
1951	52
9518	983
1737	149
1737	106
1737	45
3263	981
3263	228
3263	226
3263	129
3263	117
3263	53
2160	981
2160	228
2160	226
2160	129
2160	117
2160	53
17	4567
17	1
7855	3269
7855	1538
7855	946
7855	580
7855	502
7855	319
7855	225
9123	995
9123	502
9123	225
9123	116
9123	18
4243	4829
10037	4652
10037	4094
10037	3470
10037	3419
10037	3269
10037	3169
10037	1538
10037	1464
10037	1220
10037	946
10037	609
10037	580
10037	502
10037	319
10037	225
10037	115
10037	81
3497	3341
477	4734
477	1238
10286	4099
10286	3201
10286	3197
