Refuge Name	Refuge Organization Code
Baker Island National Wildlife Refuge	12511
Howland Island National Wildlife Refuge	12512
Jarvis Island National Wildlife Refuge	12513
Rose Atoll National Wildlife Refuge	12514
Johnston Atoll National Wildlife Refuge	12515
Guam National Wildlife Refuge	12518
Midway Atoll National Wildlife Refuge	12520
Hanalei National Wildlife Refuge	12522
Huleia National Wildlife Refuge	12523
Pearl Harbor National Wildlife Refuge	12524
Kakahaia National Wildlife Refuge	12525
Hawaiian Islands National Wildlife Refuge	12526
James Campbell National Wildlife Refuge	12529
Kealia Pond National Wildlife Refuge	12531
Oahu Forest National Wildlife Refuge	12532
Palmyra Atoll National Wildlife Refuge	12533
Kingman Reef National Wildlife Refuge	12534
Hakalau Forest National Wildlife Refuge	12536
Papahanaumokuakea Marine National Monument	12538
Wake Atoll National Wildlife Refuge	12544
Columbia National Wildlife Refuge	13510
Mcnary National Wildlife Refuge	13520
Toppenish National Wildlife Refuge	13521
Conboy Lake National Wildlife Refuge	13522
Billy Frank Jr. Nisqually National Wildlife Refuge	13529
Washington Maritime National Wildlife Refuge Complex	13531
San Juan Islands National Wildlife Refuge	13532
Protection Island National Wildlife Refuge	13533
Grays Harbor National Wildlife Refuge	13534
Copalis National Wildlife Refuge	13536
Flattery Rocks National Wildlife Refuge	13537
Quillayute Needles National Wildlife Refuge	13538
Dungeness National Wildlife Refuge	13539
Ridgefield National Wildlife Refuge	13551
Willapa National Wildlife Refuge	13552
Julia Butler Hansen Refuge for the Columbian White-Tailed Deer	13554
Lewis and Clark National Wildlife Refuge	13555
Steigerwald Lake National Wildlife Refuge	13556
Pierce National Wildlife Refuge	13557
Franz Lake National Wildlife Refuge	13558
Turnbull National Wildlife Refuge	13560
Little Pend Oreille National Wildlife Refuge	13561
Malheur National Wildlife Refuge	13570
Cold Springs National Wildlife Refuge	13581
Mckay Creek National Wildlife Refuge	13582
Umatilla National Wildlife Refuge	13583
Baskett Slough National Wildlife Refuge	13587
Ankeny National Wildlife Refuge	13588
William L. Finley National Wildlife Refuge	13589
Cape Meares National Wildlife Refuge	13593
Three Arch Rocks National Wildlife Refuge	13595
Bandon Marsh National Wildlife Refuge	13596
Nestucca Bay National Wildlife Refuge	13597
Siletz Bay National Wildlife Refuge	13598
Oregon Islands National Wildlife Refuge	13599
Tualatin River National Wildlife Refuge	13600
Hanford Reach National Monument	13700
Deer Flat National Wildlife Refuge	14560
Kootenai National Wildlife Refuge	14580
