Scientific Name	Refuge Organization Code
Acropora acuminata	12511
Acropora microclados	12511
Acropora polystoma	12511
Acropora vaughani	12511
Acropora verweyi	12511
Eretmochelys imbricata	12511
Montipora caliculata	12511
Pocillopora danae	12511
Pocillopora elegans	12511
Acropora acuminata	12512
Acropora cuneata	12512
Acropora polystoma	12512
Acropora retusa	12512
Acropora vaughani	12512
Eretmochelys imbricata	12512
Montipora caliculata	12512
Pocillopora danae	12512
Pocillopora elegans	12512
Acropora microclados	12513
Acropora verweyi	12513
Eretmochelys imbricata	12513
Montipora caliculata	12513
Pocillopora danae	12513
Pocillopora elegans	12513
Eretmochelys imbricata	12514
Eretmochelys imbricata	12515
Aerodramus vanikorensis bartschi	12518
Corvus kubaryi	12518
Eretmochelys imbricata	12518
Gallinula chloropus guami	12518
Halcyon cinnamomina cinnamomina	12518
Pteropus tokudae	12518
Serianthes nelsonii	12518
Anas laysanensis	12520
Eretmochelys imbricata	12520
Monachus schauinslandi	12520
Phoebastria (=Diomedea) albatrus	12520
Anas wyvilliana	12522
Fulica americana alai	12522
Gallinula galeata sandvicensis	12522
Himantopus mexicanus knudseni	12522
Anas wyvilliana	12523
Fulica americana alai	12523
Gallinula galeata sandvicensis	12523
Himantopus mexicanus knudseni	12523
Abutilon menziesii	12524
Achyranthes splendens var. rotundata	12524
Anas wyvilliana	12524
Euphorbia skottsbergii var. skottsbergii	12524
Fulica americana alai	12524
Gallinula galeata sandvicensis	12524
Himantopus mexicanus knudseni	12524
Fulica americana alai	12525
Himantopus mexicanus knudseni	12525
Acrocephalus familiaris kingi	12526
Acropora paniculata	12526
Anas laysanensis	12526
Cenchrus agrimonioides	12526
Cyperus pennatiformis	12526
Dermochelys coriacea	12526
Eretmochelys imbricata	12526
Megaptera novaeangliae	12526
Monachus schauinslandi	12526
Montipora turgescens	12526
Montipora verrilli	12526
Phoebastria (=Diomedea) albatrus	12526
Pritchardia remota	12526
Schiedea verticillata	12526
Sesbania tomentosa	12526
Solanum nelsonii	12526
Telespyza cantans	12526
Telespyza ultima	12526
Anas wyvilliana	12529
Fulica americana alai	12529
Gallinula galeata sandvicensis	12529
Himantopus mexicanus knudseni	12529
Monachus schauinslandi	12529
Sesbania tomentosa	12529
Fulica americana alai	12531
Himantopus mexicanus knudseni	12531
Cyanea humboldtiana	12532
Cyanea koolauensis	12532
Euphorbia rockii	12532
Gardenia mannii	12532
Lasiurus cinereus semotus	12532
Lobelia koolauensis	12532
Polyscias gymnocarpa	12532
Acropora aculeus	12533
Acropora acuminata	12533
Acropora aspera	12533
Acropora cuneata	12533
Acropora globiceps	12533
Acropora paniculata	12533
Acropora polystoma	12533
Acropora vaughani	12533
Acropora verweyi	12533
Alveopora verrilliana	12533
Eretmochelys imbricata	12533
Montipora caliculata	12533
Montipora turgescens	12533
Montipora verrilli	12533
Pocillopora danae	12533
Pocillopora elegans	12533
Acropora aculeus	12534
Acropora acuminata	12534
Acropora aspera	12534
Acropora globiceps	12534
Acropora microclados	12534
Acropora paniculata	12534
Acropora retusa	12534
Acropora speciosa	12534
Acropora striata	12534
Acropora vaughani	12534
Acropora verweyi	12534
Alveopora verrilliana	12534
Eretmochelys imbricata	12534
Montipora caliculata	12534
Montipora turgescens	12534
Montipora verrilli	12534
Pocillopora danae	12534
Pocillopora elegans	12534
Anas wyvilliana	12536
Asplenium peruvianum var. insulare	12536
Branta (=Nesochen) sandvicensis	12536
Buteo solitarius	12536
Clermontia lindseyana	12536
Clermontia peleana	12536
Clermontia pyrularia	12536
Cyanea hamatiflora ssp. carlsonii	12536
Cyanea platyphylla	12536
Cyanea shipmanii	12536
Cyanea stictophylla	12536
Cyrtandra tintinnabula	12536
Drosophila digressa	12536
Drosophila heteroneura	12536
Drosophila mulli	12536
Drosophila ochrobasis	12536
Fulica americana alai	12536
Hemignathus wilsoni	12536
Joinvillea ascendens ascendens	12536
Lasiurus cinereus semotus	12536
Loxops coccineus	12536
Megalagrion pacificum	12536
Nothocestrum breviflorum	12536
Oreomystis mana	12536
Phyllostegia floribunda	12536
Phyllostegia racemosa	12536
Phyllostegia velutina	12536
Portulaca sclerocarpa	12536
Ranunculus hawaiensis	12536
Sicyos macrophyllus	12536
Silene hawaiiensis	12536
Acrocephalus familiaris kingi	12538
Acropora paniculata	12538
Anas laysanensis	12538
Balaenoptera borealis	12538
Balaenoptera musculus	12538
Caretta caretta	12538
Cenchrus agrimonioides	12538
Cyperus pennatiformis	12538
Dermochelys coriacea	12538
Eretmochelys imbricata	12538
Eubalaena japonica	12538
Lepidochelys olivacea	12538
Megaptera novaeangliae	12538
Monachus schauinslandi	12538
Montipora turgescens	12538
Montipora verrilli	12538
Phoebastria (=Diomedea) albatrus	12538
Physeter catodon (=macrocephalus)	12538
Pritchardia remota	12538
Schiedea verticillata	12538
Sesbania tomentosa	12538
Solanum nelsonii	12538
Telespyza cantans	12538
Telespyza ultima	12538
Acropora aculeus	12544
Acropora palmerae	12544
Eretmochelys imbricata	12544
Montipora lobulata	12544
Pocillopora elegans	12544
Falco peregrinus anatum	13510
Haliaeetus leucocephalus	13510
Oncorhynchus (=Salmo) mykiss	13510
Urocitellus washingtoni	13510
Falco peregrinus anatum	13520
Haliaeetus leucocephalus	13520
Oncorhynchus (=Salmo) mykiss	13520
Oncorhynchus (=Salmo) mykiss	13520
Oncorhynchus (=Salmo) mykiss	13520
Oncorhynchus (=Salmo) nerka	13520
Oncorhynchus (=Salmo) tshawytscha	13520
Oncorhynchus (=Salmo) tshawytscha	13520
Oncorhynchus (=Salmo) tshawytscha	13520
Salvelinus confluentus	13520
Haliaeetus leucocephalus	13521
Oncorhynchus (=Salmo) mykiss	13521
Haliaeetus leucocephalus	13522
Rana pretiosa	13522
Brachyramphus marmoratus	13529
Eschrichtius robustus	13529
Eumetopias jubatus	13529
Falco peregrinus anatum	13529
Haliaeetus leucocephalus	13529
Oncorhynchus (=Salmo) mykiss	13529
Oncorhynchus (=Salmo) tshawytscha	13529
Orcinus orca	13529
Pelecanus occidentalis	13529
Rana pretiosa	13529
Castilleja levisecta	13531
Eumetopias jubatus	13532
Haliaeetus leucocephalus	13532
Haliaeetus leucocephalus	13533
Acipenser medirostris	13534
Haliaeetus leucocephalus	13534
Pelecanus occidentalis	13534
Salvelinus confluentus	13534
Thaleichthys pacificus	13534
Eumetopias jubatus	13536
Falco peregrinus anatum	13536
Haliaeetus leucocephalus	13536
Pelecanus occidentalis	13536
Falco peregrinus anatum	13537
Haliaeetus leucocephalus	13537
Pelecanus occidentalis	13537
Eumetopias jubatus	13538
Falco peregrinus anatum	13538
Haliaeetus leucocephalus	13538
Pelecanus occidentalis	13538
Eschrichtius robustus	13539
Haliaeetus leucocephalus	13539
Branta canadensis leucopareia	13551
Haliaeetus leucocephalus	13551
Howellia aquatilis	13551
Odocoileus virginianus leucurus	13551
Oncorhynchus keta	13551
Oncorhynchus (=Salmo) kisutch	13551
Oncorhynchus (=Salmo) mykiss	13551
Oncorhynchus (=Salmo) tshawytscha	13551
Sidalcea nelsoniana	13551
Acipenser medirostris	13552
Brachyramphus marmoratus	13552
Charadrius nivosus nivosus	13552
Dermochelys coriacea	13552
Eremophila alpestris strigata	13552
Eumetopias jubatus	13552
Falco peregrinus anatum	13552
Haliaeetus leucocephalus	13552
Pelecanus occidentalis	13552
Thaleichthys pacificus	13552
Eremophila alpestris strigata	13554
Eumetopias jubatus	13554
Falco peregrinus anatum	13554
Haliaeetus leucocephalus	13554
Odocoileus virginianus leucurus	13554
Oncorhynchus keta	13554
Oncorhynchus (=Salmo) kisutch	13554
Oncorhynchus (=Salmo) mykiss	13554
Oncorhynchus (=Salmo) mykiss	13554
Oncorhynchus (=Salmo) mykiss	13554
Oncorhynchus (=Salmo) mykiss	13554
Oncorhynchus (=Salmo) mykiss	13554
Oncorhynchus (=Salmo) nerka	13554
Oncorhynchus (=Salmo) tshawytscha	13554
Oncorhynchus (=Salmo) tshawytscha	13554
Oncorhynchus (=Salmo) tshawytscha	13554
Oncorhynchus (=Salmo) tshawytscha	13554
Oncorhynchus (=Salmo) tshawytscha	13554
Pelecanus occidentalis	13554
Salvelinus confluentus	13554
Eremophila alpestris strigata	13555
Eumetopias jubatus	13555
Falco peregrinus anatum	13555
Haliaeetus leucocephalus	13555
Odocoileus virginianus leucurus	13555
Oncorhynchus keta	13555
Oncorhynchus (=Salmo) kisutch	13555
Oncorhynchus (=Salmo) mykiss	13555
Oncorhynchus (=Salmo) mykiss	13555
Oncorhynchus (=Salmo) mykiss	13555
Oncorhynchus (=Salmo) mykiss	13555
Oncorhynchus (=Salmo) mykiss	13555
Oncorhynchus (=Salmo) nerka	13555
Oncorhynchus (=Salmo) tshawytscha	13555
Oncorhynchus (=Salmo) tshawytscha	13555
Oncorhynchus (=Salmo) tshawytscha	13555
Oncorhynchus (=Salmo) tshawytscha	13555
Oncorhynchus (=Salmo) tshawytscha	13555
Pelecanus occidentalis	13555
Salvelinus confluentus	13555
Castilleja levisecta	13556
Falco peregrinus anatum	13556
Haliaeetus leucocephalus	13556
Oncorhynchus keta	13556
Oncorhynchus (=Salmo) kisutch	13556
Oncorhynchus (=Salmo) mykiss	13556
Oncorhynchus (=Salmo) tshawytscha	13556
Sidalcea nelsoniana	13556
Falco peregrinus anatum	13557
Haliaeetus leucocephalus	13557
Oncorhynchus keta	13557
Oncorhynchus (=Salmo) kisutch	13557
Oncorhynchus (=Salmo) mykiss	13557
Oncorhynchus (=Salmo) tshawytscha	13557
Falco peregrinus anatum	13558
Haliaeetus leucocephalus	13558
Oncorhynchus (=Salmo) kisutch	13558
Oncorhynchus (=Salmo) mykiss	13558
Haliaeetus leucocephalus	13560
Howellia aquatilis	13560
Silene spaldingii	13560
Coccyzus americanus	13561
Haliaeetus leucocephalus	13561
Lynx canadensis	13561
Ursus arctos horribilis	13561
Haliaeetus leucocephalus	13570
Rana luteiventris	13570
Haliaeetus leucocephalus	13581
Haliaeetus leucocephalus	13582
Falco peregrinus anatum	13583
Haliaeetus leucocephalus	13583
Oncorhynchus (=Salmo) mykiss	13583
Oncorhynchus (=Salmo) mykiss	13583
Oncorhynchus (=Salmo) mykiss	13583
Oncorhynchus (=Salmo) nerka	13583
Oncorhynchus (=Salmo) tshawytscha	13583
Oncorhynchus (=Salmo) tshawytscha	13583
Oncorhynchus (=Salmo) tshawytscha	13583
Salvelinus confluentus	13583
Castilleja levisecta	13587
Eremophila alpestris strigata	13587
Erigeron decumbens	13587
Haliaeetus leucocephalus	13587
Icaricia icarioides fenderi	13587
Lupinus sulphureus ssp. kincaidii	13587
Sidalcea nelsoniana	13587
Eremophila alpestris strigata	13588
Haliaeetus leucocephalus	13588
Oncorhynchus (=Salmo) mykiss	13588
Oregonichthys crameri	13588
Sidalcea nelsoniana	13588
Castilleja levisecta	13589
Eremophila alpestris strigata	13589
Erigeron decumbens	13589
Lomatium bradshawii	13589
Lupinus sulphureus ssp. kincaidii	13589
Oncorhynchus (=Salmo) mykiss	13589
Oncorhynchus (=Salmo) tshawytscha	13589
Oregonichthys crameri	13589
Sidalcea nelsoniana	13589
Brachyramphus marmoratus	13593
Falco peregrinus anatum	13593
Haliaeetus leucocephalus	13593
Pelecanus occidentalis	13593
Branta canadensis leucopareia	13595
Eumetopias jubatus	13595
Falco peregrinus anatum	13595
Haliaeetus leucocephalus	13595
Pelecanus occidentalis	13595
Acipenser medirostris	13596
Branta canadensis leucopareia	13596
Falco peregrinus anatum	13596
Haliaeetus leucocephalus	13596
Oncorhynchus (=Salmo) kisutch	13596
Pelecanus occidentalis	13596
Thaleichthys pacificus	13596
Acipenser medirostris	13597
Branta canadensis leucopareia	13597
Falco peregrinus anatum	13597
Haliaeetus leucocephalus	13597
Oncorhynchus (=Salmo) kisutch	13597
Thaleichthys pacificus	13597
Acipenser medirostris	13598
Branta canadensis leucopareia	13598
Falco peregrinus anatum	13598
Haliaeetus leucocephalus	13598
Oncorhynchus (=Salmo) kisutch	13598
Pelecanus occidentalis	13598
Thaleichthys pacificus	13598
Branta canadensis leucopareia	13599
Eumetopias jubatus	13599
Falco peregrinus anatum	13599
Haliaeetus leucocephalus	13599
Pelecanus occidentalis	13599
Castilleja levisecta	13600
Oncorhynchus (=Salmo) mykiss	13600
Sidalcea nelsoniana	13600
Eriogonum codium	13700
Haliaeetus leucocephalus	13700
Oncorhynchus (=Salmo) mykiss	13700
Oncorhynchus (=Salmo) mykiss	13700
Oncorhynchus (=Salmo) tshawytscha	13700
Physaria douglasii ssp. tuplashensis	13700
Urocitellus washingtoni	13700
Haliaeetus leucocephalus	14560
Falco peregrinus anatum	14580
Haliaeetus leucocephalus	14580
Salvelinus confluentus	14580
Haliaeetus leucocephalus	14611
Haliaeetus leucocephalus	14612
Haliaeetus leucocephalus	14613
Physa natricina	14614
Centrocercus urophasianus	14621
Coccyzus americanus	14621
Falco peregrinus anatum	14621
Haliaeetus leucocephalus	14621
Oncorhynchus clarkii henshawi	14621
Centrocercus urophasianus	14622
Coccyzus americanus	14622
Falco peregrinus anatum	14622
Haliaeetus leucocephalus	14622
Charadrius melodus	21521
Dermochelys coriacea	21521
Eretmochelys imbricata	21521
Haliaeetus leucocephalus	21521
Pelecanus occidentalis	21521
Charadrius melodus	21522
Dermochelys coriacea	21522
Eretmochelys imbricata	21522
Haliaeetus leucocephalus	21522
Lepidochelys kempii	21522
Pelecanus occidentalis	21522
Charadrius melodus	21525
Dermochelys coriacea	21525
Eretmochelys imbricata	21525
Haliaeetus leucocephalus	21525
Lepidochelys kempii	21525
Pelecanus occidentalis	21525
Charadrius melodus	21526
Dermochelys coriacea	21526
Eretmochelys imbricata	21526
Haliaeetus leucocephalus	21526
Lepidochelys kempii	21526
Pelecanus occidentalis	21526
Charadrius melodus	21532
Dermochelys coriacea	21532
Eretmochelys imbricata	21532
Falco femoralis septentrionalis	21532
Grus americana	21532
Lepidochelys kempii	21532
Pelecanus occidentalis	21532
Trichechus manatus	21532
