Common Name,Scientific Name,ESA Listing Status,Is Foreign?,Taxonomic Family,Taxonomic Group,Taxonomic Kingdom
Aaa water treader bug,Cavaticovelia aaa,Species of Concern,FALSE,Mesoveliidae,Insects,Animal
Aalbu's cave pseudoscorpion,Archeolarca aalbui,Species of Concern,FALSE,Garypidae,Arachnids,Animal
Aardhals springsnail,Pyrgulopsis aardahli,Species of Concern,FALSE,Hydrobiidae,Snails,Animal
Aase's onion,Allium aaseae,Species of Concern,FALSE,Liliaceae,Flowering Plants,Plant
Abajo daisy,Erigeron abajoensis,Resolved Taxon,FALSE,Asteraceae,Flowering Plants,Plant
Abbott's booby,Papasula (=Sula) abbotti,Endangered,TRUE,Sulidae,Birds,Animal
Abbott's bush-mallow,Malacothamnus abbottii,Species of Concern,FALSE,Malvaceae,Flowering Plants,Plant
Abellan hydropsyche caddisfly,Ceratopsyche abella,Species of Concern,FALSE,Hydropsychidae,Insects,Animal
Aboriginal Prickly-apple,Harrisia (=Cereus) aboriginum (=gracilis),Endangered,FALSE,Cactaceae,Flowering Plants,Plant
Absaroka beardtongue,Penstemon absarokensis,Resolved Taxon,FALSE,Scrophulariaceae,Flowering Plants,Plant
Acadian Flycatcher,Empidonax virescens,Species of Concern,FALSE,Tyrannidae,Birds,Animal
A Cave Obligate amphipod,Stygobromus obscurus,Resolved Taxon,FALSE,Crangonyctidae,Crustaceans,Animal
A Cave Obligate Harvestman,Cryptobunus cavicolus,Resolved Taxon,FALSE,Triaenonychidae,Arachnids,Animal
A Cave Obligate Harvestman,Hesperonemastoma packardi,Resolved Taxon,FALSE,Opiliones,Arachnids,Animal
A Cave Obligate Pseudoscorpion,Tyrannochthonius troglodytes,Resolved Taxon,FALSE,Chthoniidae,Arachnids,Animal
A Cave Obligate Shrimp,sphaeromicola moria,Resolved Taxon,FALSE,entocytheridae,Crustaceans,Animal
Acklins ground iguana,Cyclura rileyi nuchalis,Threatened,TRUE,Iguanidae,Reptiles,Animal
Acoma fleabane,Erigeron acomanus,Resolved Taxon,FALSE,Asteraceae,Flowering Plants,Plant
Acorn rams-horn,Planorbella multivolvis,Species of Concern,FALSE,Planorbidae,Snails,Animal
Acornshell,Epioblasma haysiana,Resolved Taxon,FALSE,Unionidae,Clams,Animal
Acuña Cactus,Echinomastus erectocentrus var. acunensis,Endangered,FALSE,Cactaceae,Flowering Plants,Plant
Acute elimia,Elimia acuta,Under Review,FALSE,Pleuroceridae,Snails,Animal
Addax,Addax nasomaculatus,Endangered,TRUE,Bovidae,Mammals,Animal
Adder's-mouth,Malaxis brachypoda,Species of Concern,FALSE,Orchidaceae,Flowering Plants,Plant
Addison's virgin's bower,Clematis addisonii,Species of Concern,FALSE,Ranunculaceae,Flowering Plants,Plant
Adobe desert-parsley,Lomatium concinnum,Species of Concern,FALSE,Apiaceae,Flowering Plants,Plant
Adobe navarretia,navarretia nigelliformis ssp. nigelliformis,Species of Concern,FALSE,polemoniaceae,Flowering Plants,Plant
Adobe sanicle,Sanicula maritima,Species of Concern,FALSE,Apiaceae,Flowering Plants,Plant
Adobe yampah,Perideridia pringlei,Resolved Taxon,FALSE,Apiaceae,Flowering Plants,Plant
Adriatic sturgeon,Acipenser naccarii,Endangered,FALSE,Acipenseridae,Fishes,Animal
Adytum megalagrion damselfly,Megalagrion adytum,Species of Concern,FALSE,Coenagrionidae,Insects,Animal
A`e,Zanthoxylum dipetalum var. tomentosum,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
A`e,Zanthoxylum hawaiiense,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
A`e,Zanthoxylum oahuense,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
A`e,Zanthoxylum semiarticulatum,Resolved Taxon,FALSE,Rutaceae,Flowering Plants,Plant
A`e,Zanthoxylum skottsbergii,Resolved Taxon,FALSE,Rutaceae,Flowering Plants,Plant
A Freshwater Snail,Pyrgulopsis bedfordensis,Resolved Taxon,FALSE,Hydrobiidae,Snails,Animal
African coelacanth,Latimeria chalumnae,Threatened,FALSE,Coelacanthidae,Fishes,Animal
African dwarf crocodile,Osteolaemus tetraspis tetraspis,Endangered,TRUE,Crocodylidae,Reptiles,Animal
African elephant,Loxodonta africana,Threatened,TRUE,Elephantidae,Mammals,Animal
African penguin,Spheniscus demersus,Endangered,TRUE,Spheniscidae,Birds,Animal
African slender-snouted crocodile,Crocodylus cataphractus,Endangered,TRUE,Crocodylidae,Reptiles,Animal
African viviparous toads,Nectophrynoides spp.,Endangered,TRUE,Bufonidae,Amphibians,Animal
African wild ass,Equus africanus,Endangered,TRUE,Equidae,Mammals,Animal
African wild dog,Lycaon pictus,Endangered,TRUE,Canidae,Mammals,Animal
Agate rocksnail,Leptoxis clipeata,Resolved Taxon,FALSE,Pleuroceridae,Snails,Animal
Agave Threeband,Humboldtiana agavophila,Resolved Taxon,FALSE,Humboldtianidae,Snails,Animal
`Ahakea,Bobea sandwicensis,Resolved Taxon,FALSE,Rubiaceae,Flowering Plants,Plant
`Ahakea,Bobea timonioides,Species of Concern,FALSE,Rubiaceae,Flowering Plants,Plant
Ahart's dwarf rush,Juncus leiospermus var. ahartii,Species of Concern,FALSE,Juncaceae,Flowering Plants,Plant
Ahart's whitlow-wort,Paronychia ahartii,Species of Concern,FALSE,Caryophyllaceae,Flowering Plants,Plant
`Ahinahina,Argyroxiphium sandwicense ssp. macrocephalum,Threatened,FALSE,Asteraceae,Flowering Plants,Plant
`Ahinahina,Argyroxiphium sandwicense ssp. sandwicense,Endangered,FALSE,Asteraceae,Flowering Plants,Plant
Ahinahina long-horned beetle,Plagiithmysus swezeyanus,Species of Concern,FALSE,Cerambycidae,Insects,Animal
A Hornwort,Aspiromitus appalachianus,Species of Concern,FALSE,Anthocerotaceae,Flowering Plants,Plant
"`Aiakeakua, popolo",Solanum sandwicense,Endangered,FALSE,Solanaceae,Flowering Plants,Plant
`Aiea,Nothocestrum breviflorum,Endangered,FALSE,Solanaceae,Flowering Plants,Plant
`Aiea,Nothocestrum latifolium,Endangered,FALSE,Solanaceae,Flowering Plants,Plant
`Aiea,Nothocestrum longifolium,Resolved Taxon,FALSE,Solanaceae,Flowering Plants,Plant
`Aiea,Nothocestrum peltatum,Endangered,FALSE,Solanaceae,Flowering Plants,Plant
Ajo rock-daisy,Perityle ajoensis,Resolved Taxon,FALSE,Asteraceae,Flowering Plants,Plant
Akekee,Loxops caeruleirostris,Endangered,FALSE,Fringillidae,Birds,Animal
akiapolaau,Hemignathus wilsoni,Endangered,FALSE,Drepanidinae,Birds,Animal
Akikiki,Oreomystis bairdi,Endangered,FALSE,Fringillidae,Birds,Animal
`Akoko,Chamaesyce arnottiana,Species of Concern,FALSE,Euphorbiaceae,Flowering Plants,Plant
