ECOS Listed Species ID	Common Name	Scientific Name	ESA Listing Status	Is Foreign?	Taxonomic Family_1
744	Cooley's water-willow	Justicia cooleyi	Endangered	FALSE	Acanthaceae
5115	Narrowleaf Carolina scalystem	Elytraria caroliniensis angustifolia	Status Undefined	FALSE	Acanthaceae
1317	No common name	Dicliptera krugii	Species of Concern	FALSE	Acanthaceae
1342	No common name	Dyschoriste crenulata	Resolved Taxon	FALSE	Acanthaceae
5110	No common name	Elytraria caroliniensis caroliniensis	Resolved Taxon	FALSE	Acanthaceae
6922	No common name	Justicia borinquensis	Species of Concern	FALSE	Acanthaceae
5840	No common name	Justicia culebritae	Species of Concern	FALSE	Acanthaceae
3749	No common name	Justicia warnockii	Resolved Taxon	FALSE	Acanthaceae
5447	No common name	Ruellia drummondiana	Resolved Taxon	FALSE	Acanthaceae
7552	No common name	Stenandrium fascicularis	Resolved Taxon	FALSE	Acanthaceae
4118	Runyon's water-willow	Justicia runyonii	Species of Concern	FALSE	Acanthaceae
1676	Thick-leaved water-willow	Justicia crassifolia	Species of Concern	FALSE	Acanthaceae
4441	[Unnamed] water-willow	Justicia americana	Resolved Taxon	FALSE	Acanthaceae
4868	Wright's water-willow	Justicia wrightii	Species of Concern	FALSE	Acanthaceae
9832	No common name	acarospora clauzadeana	Status Undefined	FALSE	Acarosporaceae
7639	American swallow-tailed kite	Elanoides forficatus forficatus	Resolved Taxon	FALSE	Accipitridae
8041	Anjouan Island sparrowhawk	Accipiter francesii pusillus	Endangered	TRUE	Accipitridae
9124	Bald eagle	Haliaeetus leucocephalus	Resolved Taxon	FALSE	Accipitridae
8384	Bald eagle	Haliaeetus leucocephalus	Recovery	FALSE	Accipitridae
9932	Bald eagle	Haliaeetus leucocephalus	Resolved Taxon	FALSE	Accipitridae
5366	Christmas Island goshawk	Accipiter fasciatus natalis	Endangered	TRUE	Accipitridae
10391	Common Black-Hawk	Buteogallus anthracinus	Species of Concern	FALSE	Accipitridae
9127	Cooper's hawk	Accipiter cooperii	Species of Concern	FALSE	Accipitridae
2499	Cuba hook-billed kite	Chondrohierax uncinatus wilsonii	Endangered	TRUE	Accipitridae
1221	Everglade snail kite	Rostrhamus sociabilis plumbeus	Endangered	FALSE	Accipitridae
8204	Ferruginous hawk	Buteo regalis	Resolved Taxon	FALSE	Accipitridae
10216	Flores hawk-eagle	Spizaetus floris	Under Review	TRUE	Accipitridae
1966	Galapagos hawk	Buteo galapagoensis	Endangered	TRUE	Accipitridae
9131	Golden eagle	Aquila chrysaetos	Species of Concern	FALSE	Accipitridae
7502	Greenland white-tailed eagle	Haliaeetus albicilla groenlandicus	Endangered	TRUE	Accipitridae
7178	Grenada hook-billed kite	Chondrohierax uncinatus mirus	Endangered	TRUE	Accipitridae
6727	Harpy eagle	Harpia harpyja	Endangered	TRUE	Accipitridae
9216	Harris's Hawk	parabuteo unicinctus	Species of Concern	FALSE	Accipitridae
8386	Hawaiian (='lo) Hawk	Buteo solitarius	Recovery	FALSE	Accipitridae
1277	Madagascar sea eagle	Haliaeetus vociferoides	Endangered	TRUE	Accipitridae
7844	Madagascar serpent eagle	Eutriorchis astur	Endangered	TRUE	Accipitridae
10467	Mississippi Kite	Ictinia mississippiensis	Species of Concern	FALSE	Accipitridae
6353	Northern goshawk	Accipiter gentilis	Resolved Taxon	FALSE	Accipitridae
2560	Northern gray hawk	Buteo nitidus maximus	Species of Concern	FALSE	Accipitridae
9238	Northern harrier	circus cyaneus	Species of Concern	FALSE	Accipitridae
6820	Philippine eagle	Pithecophaga jefferyi	Endangered	TRUE	Accipitridae
127	Puerto Rican broad-winged hawk	Buteo platypterus brunnescens	Endangered	FALSE	Accipitridae
128	Puerto Rican sharp-shinned hawk	Accipiter striatus venator	Endangered	FALSE	Accipitridae
2370	Queen Charlotte goshawk	Accipiter gentilis laingi	Resolved Taxon	FALSE	Accipitridae
9708	Queen Charlotte goshawk	Accipiter gentilis laingi	Threatened	TRUE	Accipitridae
9187	Red-shouldered hawk	buteo lineatus	Species of Concern	FALSE	Accipitridae
10198	Ridgeway's hawk	Buteo ridgwayi	Under Review	TRUE	Accipitridae
9179	Rough-legged hawk	buteo lagopus	Species of Concern	FALSE	Accipitridae
9554	Sharp shinned hawk	Accipiter striatus	Species of Concern	FALSE	Accipitridae
9355	short-tailed hawk	Buteo brachyurus	Status Undefined	FALSE	Accipitridae
9353	short-tailed hawk	Buteo brachyurus	Species of Concern	FALSE	Accipitridae
8332	Spanish imperial eagle	Aquila heliaca adalberti	Endangered	TRUE	Accipitridae
4614	Swainson's hawk	Buteo swainsoni	Resolved Taxon	FALSE	Accipitridae
9940	Swallow-tailed Kite	Elanoides forficatus	Species of Concern	FALSE	Accipitridae
10687	White-tailed Hawk	Buteo albicaudatus	Species of Concern	FALSE	Accipitridae
9243	White-tailed kite	elanus caeruleus	Species of Concern	FALSE	Accipitridae
9520	White-tailed Kite	Elanus leucurus	Species of Concern	FALSE	Accipitridae
5213	[Unnamed] maple	Acer grandidentatum sinuosum	Resolved Taxon	FALSE	Aceraceae
1546	Hawai`i tree snail	Partulina confusa	Species of Concern	FALSE	Achatinellidae
4352	Hawai`i tree snail	Partulina horneri	Species of Concern	FALSE	Achatinellidae
5853	Hawai`i tree snail	Partulina physa	Species of Concern	FALSE	Achatinellidae
6604	Lanai tree snail	Partulina crassa	Species of Concern	FALSE	Achatinellidae
1989	Lanai tree snail	Partulina semicarinata	Endangered	FALSE	Achatinellidae
3385	Lanai tree snail	Partulina variabilis	Endangered	FALSE	Achatinellidae
7476	Maui tree snail	Partulina anceyana	Species of Concern	FALSE	Achatinellidae
8190	Maui tree snail	Partulina carnicolor	Species of Concern	FALSE	Achatinellidae
4015	Maui tree snail	Partulina crocea	Species of Concern	FALSE	Achatinellidae
5782	Maui tree snail	Partulina dolei	Species of Concern	FALSE	Achatinellidae
3009	Maui tree snail	Partulina fusoidea	Species of Concern	FALSE	Achatinellidae
1474	Maui tree snail	Partulina germana	Species of Concern	FALSE	Achatinellidae
5535	Maui tree snail	Partulina gouldii	Species of Concern	FALSE	Achatinellidae
7933	Maui tree snail	Partulina grisea	Species of Concern	FALSE	Achatinellidae
3347	Maui tree snail	Partulina induta	Species of Concern	FALSE	Achatinellidae
6229	Maui tree snail	Partulina kaaeana	Species of Concern	FALSE	Achatinellidae
3878	Maui tree snail	Partulina lemmoni	Species of Concern	FALSE	Achatinellidae
2989	Maui tree snail	Partulina marmorata	Species of Concern	FALSE	Achatinellidae
4982	Maui tree snail	Partulina mutabilis	Species of Concern	FALSE	Achatinellidae
1402	Maui tree snail	Partulina natti	Species of Concern	FALSE	Achatinellidae
7623	Maui tree snail	Partulina nivea	Species of Concern	FALSE	Achatinellidae
3886	Maui tree snail	Partulina perdix	Species of Concern	FALSE	Achatinellidae
3068	Maui tree snail	Partulina plumbea	Species of Concern	FALSE	Achatinellidae
3747	Maui tree snail	Partulina porcellana	Species of Concern	FALSE	Achatinellidae
4215	Maui tree snail	Partulina radiata	Species of Concern	FALSE	Achatinellidae
2414	Maui tree snail	Partulina splendida	Species of Concern	FALSE	Achatinellidae
6741	Maui tree snail	Partulina tapaniana	Species of Concern	FALSE	Achatinellidae
3947	Maui tree snail	Partulina terebra	Species of Concern	FALSE	Achatinellidae
8227	Maui tree snail	Partulina thaanumiana	Species of Concern	FALSE	Achatinellidae
5038	Maui tree snail	Partulina ustulata	Species of Concern	FALSE	Achatinellidae
5637	Maui tree snail	Partulina winniei	Species of Concern	FALSE	Achatinellidae
2555	Moloka`i tree snail	Partulina dwightii	Species of Concern	FALSE	Achatinellidae
2301	Moloka`i tree snail	Partulina mighelsiana	Species of Concern	FALSE	Achatinellidae
7841	Moloka`i tree snail	Partulina mucida	Species of Concern	FALSE	Achatinellidae
4513	Moloka`i tree snail	Partulina proxima	Species of Concern	FALSE	Achatinellidae
4901	Moloka`i tree snail	Partulina redfieldii	Species of Concern	FALSE	Achatinellidae
6315	Moloka`i tree snail	Partulina rufa	Species of Concern	FALSE	Achatinellidae
1347	Moloka`i tree snail	Partulina subpolita	Species of Concern	FALSE	Achatinellidae
4668	Moloka`i tree snail	Partulina tessellata	Species of Concern	FALSE	Achatinellidae
2314	Moloka`i tree snail	Partulina theodorei	Species of Concern	FALSE	Achatinellidae
4639	Moloka`i tree snail	Partulina virgulata	Species of Concern	FALSE	Achatinellidae
2014	Newcomb's tree snail	Newcombia canaliculata	Species of Concern	FALSE	Achatinellidae
2814	Newcomb's tree snail	Newcombia perkinsi	Species of Concern	FALSE	Achatinellidae
1912	Newcomb's tree snail	Newcombia pfeifferi	Species of Concern	FALSE	Achatinellidae
7377	Newcomb's tree snail	Newcombia sulcata	Species of Concern	FALSE	Achatinellidae
7974	Newcomb's tree snail	Nucombia plicata	Species of Concern	FALSE	Achatinellidae
3876	Newcomb's Tree snail	Newcombia cumingi	Endangered	FALSE	Achatinellidae
397	Oahu tree snails	Achatinella spp.	Endangered	FALSE	Achatinellidae
5305	[Unnamed] snail	Perdicella carinella	Species of Concern	FALSE	Achatinellidae
4918	[Unnamed] snail	Perdicella fulgurans	Species of Concern	FALSE	Achatinellidae
2322	[Unnamed] snail	Perdicella helena	Species of Concern	FALSE	Achatinellidae
2049	[Unnamed] snail	Perdicella kuhnsi	Species of Concern	FALSE	Achatinellidae
6392	[Unnamed] snail	Perdicella mauiensis	Species of Concern	FALSE	Achatinellidae
2011	[Unnamed] snail	Perdicella ornata	Species of Concern	FALSE	Achatinellidae
4717	[Unnamed] snail	Perdicella thwingii	Species of Concern	FALSE	Achatinellidae
1372	[Unnamed] snail	Perdicella zebra	Species of Concern	FALSE	Achatinellidae
8072	[Unnamed] snail	Perdicella zebrina	Species of Concern	FALSE	Achatinellidae
5920	Waianae tree snail	Partulina dubia	Species of Concern	FALSE	Achatinellidae
10714	Adriatic sturgeon	Acipenser naccarii	Endangered	FALSE	Acipenseridae
252	Alabama sturgeon	Scaphirhynchus suttkusi	Endangered	FALSE	Acipenseridae
10241	Amur Sturgeon	Acipenser schrenckii	Proposed Endangered	TRUE	Acipenseridae
10300	Atlantic sturgeon	Acipenser oxyrinchus oxyrinchus	Endangered	FALSE	Acipenseridae
10301	Atlantic sturgeon	Acipenser oxyrinchus oxyrinchus	Endangered	FALSE	Acipenseridae
10298	Atlantic sturgeon	Acipenser oxyrinchus oxyrinchus	Endangered	FALSE	Acipenseridae
10297	Atlantic sturgeon	Acipenser oxyrinchus oxyrinchus	Threatened	FALSE	Acipenseridae
10299	Atlantic sturgeon	Acipenser oxyrinchus oxyrinchus	Endangered	FALSE	Acipenseridae
3140	Beluga sturgeon	Huso huso	Threatened	TRUE	Acipenseridae
10715	Chinese sturgeon	Acipenser sinensis	Endangered	FALSE	Acipenseridae
10243	Dwarf Sturgeon	Pseudoscaphirhynchus hermanni	Under Review	TRUE	Acipenseridae
10716	European sturgeon	Acipenser sturio	Endangered	FALSE	Acipenseridae
4093	green sturgeon	Acipenser medirostris	Threatened	FALSE	Acipenseridae
286	Gulf sturgeon	Acipenser oxyrinchus (=oxyrhynchus) desotoi	Threatened	FALSE	Acipenseridae
10717	Kaluga sturgeon	Huso dauricus	Endangered	FALSE	Acipenseridae
2822	Lake sturgeon	Acipenser fulvescens	Under Review	FALSE	Acipenseridae
10244	Large Shovelnose Sturgeon	Pseudoscaphirhynchus kaufmanni	Under Review	TRUE	Acipenseridae
303	Pallid sturgeon	Scaphirhynchus albus	Endangered	FALSE	Acipenseridae
10240	Persian Sturgeon	Acipenser persicus	Under Review	TRUE	Acipenseridae
10238	Russian Sturgeon	Acipenser gueldenstaedtii	Under Review	TRUE	Acipenseridae
11202	Sakhalin sturgeon	Acipenser mikadoi	Endangered	FALSE	Acipenseridae
10239	Ship Sturgeon	Acipenser nudiventris	Under Review	TRUE	Acipenseridae
4330	Shortnose sturgeon	Acipenser brevirostrum	Endangered	FALSE	Acipenseridae
10033	Shovelnose Sturgeon	Scaphirhynchus platorynchus	Similarity of Appearance (Threatened)	FALSE	Acipenseridae
10236	Siberian sturgeon	Acipenser baerii	Under Review	TRUE	Acipenseridae
10270	Stellate Sturgeon	Acipenser stellatus	Under Review	TRUE	Acipenseridae
10242	Syr Darya Sturgeon	Pseudoscaphirhynchus fedtschenkoi	Under Review	TRUE	Acipenseridae
314	White sturgeon	Acipenser transmontanus	Endangered	FALSE	Acipenseridae
10237	Yangtze Sturgeon	Acipenser dabryanus	Endangered	TRUE	Acipenseridae
11097	A Spur-throat Grasshopper	Melanoplus magdalenae	Resolved Taxon	FALSE	Acrididae
1713	Big Cedar grasshopper	Eximacris phenax	Species of Concern	FALSE	Acrididae
3941	Central Valley grasshopper	Conozoa hyalina	Resolved Taxon	FALSE	Acrididae
6333	Idaho pointheaded grasshopper	Acrolophitus pulchellus	Species of Concern	FALSE	Acrididae
3705	Lake Huron locust	Trimerotropis huroniana	Species of Concern	FALSE	Acrididae
1350	Lompoc grasshopper	Trimerotropis occulens	Resolved Taxon	FALSE	Acrididae
2580	Michigan bog grasshopper	Appalachia arcana	Species of Concern	FALSE	Acrididae
11096	No common name	Melanoplus alexanderi	Resolved Taxon	FALSE	Acrididae
10922	No common name	Melanoplus chiricahuae	Resolved Taxon	FALSE	Acrididae
9637	No common name	Melanoplus missoulae	Resolved Taxon	FALSE	Acrididae
10923	No common name	Melanoplus pinaleno	Resolved Taxon	FALSE	Acrididae
9825	No common name	melanoplus species	Status Undefined	FALSE	Acrididae
9826	No common name	melanoplus speciesfiftytwo	Status Undefined	FALSE	Acrididae
9828	No common name	melanoplus speciesforty-eight	Status Undefined	FALSE	Acrididae
11326	No common name	Melanoplus speciesforty-nine	Under Review	FALSE	Acrididae
11322	No common name	Melanoplus speciesforty-seven	Under Review	FALSE	Acrididae
11323	No common name	Melanoplus speciesforty-two	Under Review	FALSE	Acrididae
11320	No common name	Melanoplus speciesfourty	Under Review	FALSE	Acrididae
11329	No common name	Melanoplus speciesfourty-one	Under Review	FALSE	Acrididae
11327	No common name	Melanoplus speciesone	Under Review	FALSE	Acrididae
9829	No common name	melanoplus speciessixtytwo	Status Undefined	FALSE	Acrididae
9830	No common name	melanoplus speciesthirtysix	Status Undefined	FALSE	Acrididae
9831	No common name	melanoplus speciestwentysix	Status Undefined	FALSE	Acrididae
9833	No common name	melanoplus speciestwentytwo	Status Undefined	FALSE	Acrididae
2992	San Bernardino Mountains grasshopper	Trimerotropis bernardi	Resolved Taxon	FALSE	Acrididae
