Taxonomic Family_1	Taxonomic Group	Taxonomic Kingdom
Acanthaceae	Flowering Plants	Plant
Acarosporaceae	Lichens	Plant
Accipitridae	Birds	Animal
Aceraceae	Flowering Plants	Plant
Achatinellidae	Snails	Animal
Acipenseridae	Fishes	Animal
Acrididae	Insects	Animal
Acrocephalidae	Birds	Animal
Acroceridae	Insects	Animal
Acroloxidae	Snails	Animal
Acroporidae	Corals	Animal
Adiantaceae	Ferns and Allies	Plant
Aegothelidae	Birds	Animal
Agariciidae	Corals	Animal
Agavaceae	Flowering Plants	Plant
Aizoaceae	Flowering Plants	Plant
Alaudidae	Birds	Animal
Alcedinidae	Birds	Animal
Alcidae	Birds	Animal
Alectoriaceae	Lichens	Plant
Alismataceae	Flowering Plants	Plant
Alligatoridae	Reptiles	Animal
Alpheidae	Crustaceans	Animal
Amaranthaceae	Flowering Plants	Plant
Amaryllidaceae	Flowering Plants	Plant
Amastridae	Snails	Animal
Amblyopsidae	Fishes	Animal
Amblystegiaceae	Lichens	Plant
Amblystegiaceae	Flowering Plants	Plant
Ambystomatidae	Amphibians	Animal
Ameletidae	Insects	Animal
Ammonitellidae	Snails	Animal
Amphisbaenidae	Reptiles	Animal
Amphiumidae	Amphibians	Animal
Anacardiaceae	Flowering Plants	Plant
Anatidae	Birds	Animal
Ancylidae	Snails	Animal
Andrenidae	Insects	Animal
Anguidae	Reptiles	Animal
Anguillidae	Fishes	Animal
Aniellidae	Reptiles	Animal
Anniellidae	Reptiles	Animal
Annonaceae	Flowering Plants	Plant
Anobiidae	Insects	Animal
Anthicidae	Insects	Animal
Anthocerotaceae	Flowering Plants	Plant
Anthophoridae	Insects	Animal
Antilocapridae	Mammals	Animal
Apataniidae	Insects	Animal
Apiaceae	Flowering Plants	Plant
Apidae	Insects	Animal
Apioceridae	Insects	Animal
Aplodontidae	Mammals	Animal
Apocynaceae	Flowering Plants	Plant
Apodidae	Birds	Animal
Apogonidae	Fishes	Animal
Aquifoliaceae	Flowering Plants	Plant
Araceae	Flowering Plants	Plant
Araliaceae	Flowering Plants	Plant
Aramidae	Birds	Animal
Araneidae	Arachnids	Animal
Arctiidae	Insects	Animal
Ardeidae	Birds	Animal
Arecaceae	Flowering Plants	Plant
Argyresthiidae	Insects	Animal
Arionidae	Snails	Animal
Aristolochiaceae	Flowering Plants	Plant
Artamidae	Birds	Animal
Artemiidae	Crustaceans	Animal
Artesiidae	Crustaceans	Animal
Arthoniaceae	Lichens	Plant
Arthopyreniaceae	Lichens	Plant
Ascaphidae	Amphibians	Animal
Asclepiadaceae	Flowering Plants	Plant
Asellidae	Crustaceans	Animal
Asilidae	Insects	Animal
Asparagaceae	Flowering Plants	Plant
Aspleniaceae	Ferns and Allies	Plant
Assimineidae	Snails	Animal
Asteraceae	Flowering Plants	Plant
Asteriidae	Insects	Animal
Astragalus	Flowering Plants	Plant
Atelopodidae	Amphibians	Animal
Atherinidae	Fishes	Animal
Atherinopsidae	Fishes	Animal
Atopetholidae	Millipedes	Animal
Atrichornithidae	Birds	Animal
Atyidae	Crustaceans	Animal
Baetidae	Insects	Animal
Bagridae	Fishes	Animal
Balaenidae	Mammals	Animal
Balaenopteridae	Mammals	Animal
Bartamiaceae	Lichens	Plant
Behningiidae	Insects	Animal
Belostomatidae	Insects	Animal
Berberidaceae	Flowering Plants	Plant
Bethylidae	Insects	Animal
Betulaceae	Flowering Plants	Plant
Bignoniaceae	Flowering Plants	Plant
Bittacidae	Insects	Animal
Blaberidae	Insects	Animal
Blephariceridae	Insects	Animal
Bochicidae	Arachnids	Animal
Boidae	Reptiles	Animal
Bombycillidae	Birds	Animal
Boraginaceae	Flowering Plants	Plant
Bovidae	Mammals	Animal
Brachtheciaceae	Flowering Plants	Plant
Brachycentridae	Insects	Animal
Brachypteraciidae	Birds	Animal
Bradybaenidae	Snails	Animal
Bradypodidae	Mammals	Animal
Branchinectidae	Crustaceans	Animal
Brassicaceae	Flowering Plants	Plant
Bromeliaceae	Flowering Plants	Plant
Bryaceae	Flowering Plants	Plant
Buceratidae	Birds	Animal
Bufonidae	Amphibians	Animal
Bulimulidae	Snails	Animal
Buprestidae	Insects	Animal
Burmanniaceae	Flowering Plants	Plant
Buxaceae	Flowering Plants	Plant
Cacatacea	Flowering Plants	Plant
Cacatuidae	Birds	Animal
Cactaceae	Flowering Plants	Plant
Caenestheriidae	Crustaceans	Animal
Caenidae	Insects	Animal
Caliciaceae	Lichens	Plant
Callaeidae	Birds	Animal
Callithricidae	Mammals	Animal
Camabaridae	Crustaceans	Animal
Camaenidae	Snails	Animal
Cambaridae	Crustaceans	Animal
Cambaridae	Fishes	Animal
Camelidae	Mammals	Animal
Campanlaceae	Flowering Plants	Plant
Campanulaceae	Flowering Plants	Plant
Campephagidae	Birds	Animal
Canellaceae	Flowering Plants	Plant
Canidae	Mammals	Animal
Cannaceae	Flowering Plants	Plant
Capniidae	Insects	Animal
Capparaceae	Flowering Plants	Plant
Caprifoliaceae	Flowering Plants	Plant
Caprimulgidae	Birds	Animal
Capromyidae	Mammals	Animal
Carabidae	Insects	Animal
Carcharhinidae	Algae	UNKNOWN
Cardinalidae	Birds	Animal
Carposinidae	Insects	Animal
Caryophyllaceae	Flowering Plants	Plant
Caryophylliidae	Corals	Animal
Castoridae	Mammals	Animal
Cathartidae	Birds	Animal
Catostomidae	Fishes	Animal
Cebidae	Mammals	Animal
Celastraceae	Flowering Plants	Plant
Centrarchidae	Fishes	Animal
Cephaloziellaceae	Flowering Plants	Plant
